,name,address
337,송사부 수제쌀고로케 남부터미널점,서울 서초구 효령로 292 1층 108호
338,매머드익스프레스 서초법원점,서울 서초구 서초중앙로24길 15 1층
339,텐퍼센트커피 강남서초점,서울 서초구 서초대로74길 23 104호
340,벤티프레소 강남점,서울 서초구 서초대로77길 17
341,라르고팩토리,서울 서초구 남부순환로315길 17 한우빌딩
342,스타벅스 서이초교사거리점,서울 서초구 사임당로 143
343,빽다방 서초우성점,서울 서초구 사임당로 181
344,커피나무 교대점,서울 서초구 서초중앙로 97 이화빌딩
345,삼순이 호두파이,서울 서초구 서초중앙로 188 아크로비스타아케이드 지하1층 303호
346,올리브그린,부산 해운대구 세실로27번길 11 대승코아 201호
347,시티갤러리카페 서초점,서울 서초구 반포대로12길 49 1층
348,보글이 생태탕왕코다리 서초구청점,서울 서초구 강남대로37길 56-18 서초에메랄드빌딩 1층
349,현경 교대점,서울 서초구 서초대로51길 20
350,서관면옥 교대본점,서울 서초구 서초대로56길 11
351,3대삼계장인,서울 서초구 반포대로28길 56-3 1층
352,고에몬 강남점,서울 서초구 서초대로77길 7 서초빌딩 1층
353,금복주류 강남역점,서울 서초구 강남대로65길 9 1층 금복주류
354,송계옥 교대점,서울 서초구 서초대로48길 33 1층
355,삼산회관 교대점,서울 서초구 반포대로28길 77 1층
356,잠수부네 해산물실내포차 교대역점,서울 서초구 서초대로53길 7 효성빌딩 지하1층
357,강남교자 본점,서울 서초구 강남대로69길 11 삼미빌딩
358,타르타르 강남역점,서울 서초구 강남대로61길 13
359,장원김밥 서초점,서울 서초구 서초대로77길 31
360,사가라멘 강남역점,서울 서초구 서초대로77길 9 1층
361,이자카야나무 강남역3호점,서울 서초구 서초대로75길 23 지하1층~지상4층
362,일일향 강남역3호점,서울 서초구 서초대로78길 22 홍우빌딩
363,쿤쏨차이,서울 서초구 서초대로53길 23 1층 KUNSOMCHAI
364,카츠8 강남점,서울 서초구 서초대로74길 11 삼성전자 서초사옥 B1 카츠8
365,곤트란쉐리에 강남역점,서울 서초구 강남대로65길 1
366,멜로우네이쳐 카페 교대점,서울 서초구 서초중앙로 108 1층
367,더플라잉팬레드,서울 서초구 서초대로 411 지티타워 지하1층
368,루엘드파리,서울 서초구 서초중앙로 18 서초쌍용플래티넘 112호
369,버드나무집 서초동본점,서울 서초구 효령로 434
370,크라이치즈버거 양재역점,서울 서초구 강남대로41길 8 크라이치즈버거
371,교대이층집 교대본점,서울 서초구 서초대로50길 24 청화빌딩 2층
372,샐러데이즈 강남역점,서울 서초구 사임당로 178 이츠타워 1층 102호
373,번패티번 서초점,서울 서초구 반포대로27길 21 1층
374,탐라도야지 본점,서울 서초구 서초대로50길 82 정원빌딩
375,쿠차라 삼성서초사옥점,서울 서초구 서초대로74길 11
376,더막창스,서울 서초구 서초대로77길 37 서초동월드 106호
377,유타로 강남역점,서울 서초구 서초대로74길 51 101호
378,챱챱케이크,서울 서초구 서초중앙로 110 104호
379,이하나커피 교대점,서울 서초구 서초중앙로 110 롯데캐슬메디치 1층
380,신도세기 강남역점,서울 서초구 서초대로78길 22 서초홍우빌딩 3층
381,세광양대창 교대본점,서울 서초구 반포대로28길 79 1
382,도스타코스 강남역점,서울 서초구 강남대로 455 강남태영데시앙루브
383,청기와타운 교대점,서울 서초구 서초대로48길 33 1층
384,커피앳웍스 양재역점,서울 서초구 강남대로 241 세원빌딩 내 지상 1
385,장꼬방묵은김치찌개전문,서울 서초구 효령로 364 장꼬방
386,백화네부엌 교대점,서울 서초구 반포대로28길 76 1층
387,서울주막 강남역2호점,서울 서초구 서초대로77길 41 3층
388,이남장 서초점,서울 서초구 서초대로49길 4
